,restaurant,restaurant_id,rating,text,time_created
75,Hoy-Ka Thai Restaurant,BzmbRSKGs56Yw2w2R12khw,5,"Great service, had it to go. Very quick.
Had the pork prik king, spicy! How I wanted it.
Very flavorful.",2019-03-28 11:12:37
76,Hoy-Ka Thai Restaurant,BzmbRSKGs56Yw2w2R12khw,3,"3.5 stars, but rounded down, because the meats didn't taste that fresh. 

We came here on Friday night after following some Eater recommendations for best...",2019-04-08 19:21:59
77,Hoy-Ka Thai Restaurant,BzmbRSKGs56Yw2w2R12khw,2,"Was about to give this place four stars, but I thought about it, and there's just one MAJOR beef I just cannot overlook, but we can get to that later.

I...",2019-04-07 04:19:04
78,Jokbal 1030,fF8g2rPfFHsX-AMtU7JMjQ,5,I work in downtown and wanted it delivered to our office. It arrived on time by their delivery service and packaged very nicely and neatly which was a...,2019-03-22 12:55:40
79,Jokbal 1030,fF8g2rPfFHsX-AMtU7JMjQ,3,"New jokbal place in Ktown at Chapman plaza. Since they have a 5-star review on the yelp page with lots of great comments, I decided to try this new place...",2019-03-31 09:59:53
80,Jokbal 1030,fF8g2rPfFHsX-AMtU7JMjQ,5,"If you are into Jokbal (pig feet) this is the real deal. Thus jokbal is pretty much the best place in ktown. 

When me and my friend walked in, the place...",2019-03-20 20:44:37
81,Sun Nong Dan,0SerWqGwzNWpTA2RBLVdUg,5,"Overall: If you're looking for some great authentic Korean food and not kbbq, this is definitely the spot. Definitely one of my favorite spots in all of Los...",2019-04-01 18:50:52
82,Sun Nong Dan,0SerWqGwzNWpTA2RBLVdUg,3,"Ordered the Galbi Jjim.

Food: 4/5
Price: 2/5
Service: 2/5
Environment: 2/5

Food- Rib was tasty; however, didn't like the rice cakes. They didn't use to...",2019-04-08 10:48:41
83,Sun Nong Dan,0SerWqGwzNWpTA2RBLVdUg,5,I went here because of the hype and this place truly lives up to the hype. If you love meat and Korean flavors don't hesitate and make an effort to come...,2019-03-30 18:39:18
84,Hae Jang Chon Korean BBQ Restaurant,JYGPEUZy4k5ObXGIjcD3DA,5,This place is amazing. They clean their stones with radish and you don't even have to ask them! The servers are constantly walking around and checking if...,2019-04-07 22:30:41
85,Hae Jang Chon Korean BBQ Restaurant,JYGPEUZy4k5ObXGIjcD3DA,5,"my absolute FAVORITE kbbq spot! it's totally worth the drive and wait time. 
the meat is so good, they have so many options and they cook everything for...",2019-04-05 21:50:44
86,Hae Jang Chon Korean BBQ Restaurant,JYGPEUZy4k5ObXGIjcD3DA,4,"They take reservations, but only for parties of 6 or more. And for our group of 8, no automatic gratuity is added either!

Weekend lunch price is $25.99 per...",2019-04-02 19:09:11
87,Escala,N05X5dnwzpWvLg7ZRcMtcA,5,"went here for a friends birthday yesterday with a large group and it was amazing service.
bottomless mimosas were delicious n only 19$
i had the street corn...",2019-04-01 20:55:57
88,Escala,N05X5dnwzpWvLg7ZRcMtcA,3,"A rather unremarkable millennial hotspot in the middle of Koreatown. That is to say, a place where younger people come to spend silly amounts of money for...",2019-04-05 11:26:23
89,Escala,N05X5dnwzpWvLg7ZRcMtcA,3,Escala is a mix of Korean and Colombian. It's a fun spot but not really the place to get authentic Colombian. We went during happy hour on a Saturday. It...,2019-03-17 10:25:30
90,Angry Birdz,mcHP3IfI1b7bXJZKD6PLHA,5,"Food was great... 

Got the hot and it was HOT..!! Lol 
The mild/ medium was a little hot for a few ppl too.. 

Nice place clean friendly staff .. 

Highly...",2019-04-06 23:44:29
91,Angry Birdz,mcHP3IfI1b7bXJZKD6PLHA,5,"Dank AF! We live right around the corner, and this place adds so much value to our neighborhood. Love that it's open late. My husband stops in after work,...",2019-04-06 00:53:54
92,Angry Birdz,mcHP3IfI1b7bXJZKD6PLHA,5,"They're hot chicken is amazing 
Great service 
Clean environment 
Friendly staff

Definitely recommend!",2019-04-03 22:01:49
93,Daikokuya Little Tokyo,iSZpZgVnASwEmlq0DORY2A,5,Daikoku ramen is definitely the closest thing i've tasted from the Ramens i had in Japan. You can taste the authenticity on its flavorful broth. Daikokuya...,2019-04-07 16:05:32
94,Daikokuya Little Tokyo,iSZpZgVnASwEmlq0DORY2A,4,"This ramen is really good, but it's not the best I had. I wish I got to try other spots, but this will not disappoint if you want some ramen. 
One thing I...",2019-04-08 19:09:59
95,Daikokuya Little Tokyo,iSZpZgVnASwEmlq0DORY2A,3,It used to be THE spot for authentic Japanese ramen. It's always been the best out of all the renowned spots (personally) but my recent trip was...,2019-04-01 21:59:14
96,Yang Chow,ZlQo_ArRw-nnHcrcnYPbiA,5,"This place is good.  However, the style of Chinese food caters more towards the old-school ""kitschy"" westernized Asian-food, a style that has long been...",2019-04-01 03:26:51
97,Yang Chow,ZlQo_ArRw-nnHcrcnYPbiA,4,"Deeeeeeeeeelicious!  I don't even like Chinese food, but THIS place is ridiculously good.  It came highly recommended to us by the receptionist at a nearby...",2019-03-20 17:31:29
98,Yang Chow,ZlQo_ArRw-nnHcrcnYPbiA,3,Yang Chow is an established Chinese restaurant on North Broadway in Chinatown. It's been at this same location for years and is often times crowded with a...,2019-03-13 12:58:32
99,LONO Hollywood,4X8j8QlBiF61ezICJYf5tw,5,This place is very cute and unassuming from the street but when you go inside it's actually a rather large place. We had friends from New York working a...,2019-03-19 12:06:55
100,LONO Hollywood,4X8j8QlBiF61ezICJYf5tw,4,"Positive: everything! Wow what an amazing place!
Amazing cocktails.
Love it! I don't want to tell anyone from my friends just to keep this place to...",2019-04-01 03:10:26
101,LONO Hollywood,4X8j8QlBiF61ezICJYf5tw,5,"The essence of the tiki culture conjures exotic visions of Polynesian culture embraced by WWII soldiers stationed in the South Pacific: Swaying trees,...",2019-03-12 12:09:02
102,Open Sesame,CTFZnhYe6t2tLv_NLHiE-w,5,A little piece of Mediterranean heaven right next to one of the busiest streets in LA. I would almost call it an oasis. When I walked in on a Wednesday...,2019-03-20 15:20:45
103,Open Sesame,CTFZnhYe6t2tLv_NLHiE-w,4,"Open sesame was a great find. 
The food was yummy the servers were very polite and the place had a fun vibe. 

Our only negative experience was due to the...",2019-03-16 14:53:58
104,Open Sesame,CTFZnhYe6t2tLv_NLHiE-w,5,"My sister and I were in a bit of a hurry after visiting the La Brea Tar Pits and thought maybe this place would be fairly quick, and it was. The service was...",2019-02-27 17:19:23
105,Guelaguetza Restaurante,IzRINfSLBr6k_dq1e2WNew,4,This is a moderately-priced Mexican restaurant with some pretty bomb food!  We had a reservation for 4 people at 11:15 AM on Saturday.  It didn't look like...,2019-04-09 01:53:16
106,Guelaguetza Restaurante,IzRINfSLBr6k_dq1e2WNew,5,"The best enchiladas and mole 
. The coloradito mole is my favorite and the flan 
The flan is a must have they have different kind",2019-04-07 15:05:17
107,Guelaguetza Restaurante,IzRINfSLBr6k_dq1e2WNew,5,"There is not one word to describe the experience eating at this location. Everything was delicious  and different  and with an eye for detail.  

With that...",2019-04-03 15:07:11
108,La Pergoletta,-KqNRM-drDM7Nu9i9xEnfA,5,"We ate every bite and it was delicious!

What we ordered:
Pappardelle Bolognese
Squid Ink Fettuccine with shrimp
Pesto Fettuccine with filet mignon
Alfredo...",2019-03-31 17:03:20
109,La Pergoletta,-KqNRM-drDM7Nu9i9xEnfA,4,"I have my favorite Italian restaurants in LA (The Sit Down & Osteria La Buca), but I was looking for a casual spot that I can go to when I'm craving pasta....",2019-04-07 15:52:58
110,La Pergoletta,-KqNRM-drDM7Nu9i9xEnfA,2,"I'm very conflicted about this... I love the food here and want to give this restaurant a great review... 

However, I have tried to order takeout a number...",2019-03-29 19:12:47
111,Jon & Vinny's,sPw1o5OYWE5C2JtbTXp5wg,4,"Besides waiting 1 hour for any food to come out, I was very pleased with our meal. There were 10 of us and we decided to order 5 Little Nat's pizzas. WOW it...",2019-04-07 19:28:15
112,Jon & Vinny's,sPw1o5OYWE5C2JtbTXp5wg,3,There's nothing on their menu that I don't love. The food brings me back every time. I tell everyone about how yummy it is. The big BUT is the privilege...,2019-04-05 13:05:44
113,Jon & Vinny's,sPw1o5OYWE5C2JtbTXp5wg,5,Yummy love this place !!! Pizza is amazing!!!! Actually everything is amazing. One of the days that it was poring rain my husband and I just ordered pretty...,2019-03-29 20:59:48
114,Te'Kila,kr9RZATtNwJznY9TaMexUA,5,"Came here for Happy Hour the other day and OH MAN, the Happy Hour is great! The prices are good, the portions are huge, and the food is top notch. We...",2019-03-10 03:31:49
115,Te'Kila,kr9RZATtNwJznY9TaMexUA,1,2 weeks have gone by and they don't even address these issues because they know their staff is rude. Do not come here and please go elsewhere for your day...,2019-03-20 09:10:39
116,Te'Kila,kr9RZATtNwJznY9TaMexUA,5,One of my favorite Mexican food spots in LA! I know it's right smack in the middle of the worst traffic area possible lol but it's totally worth it I...,2019-03-02 14:32:36
117,RockSugar Southeast Asian Kitchen,od-e09qz8bvZOtGuPTwHMg,5,"Best place for tapas and small plates to share.
There's something from every Asian country. 
Authentically prepared and presented.
The ambiance takes you...",2019-03-29 18:01:30
118,RockSugar Southeast Asian Kitchen,od-e09qz8bvZOtGuPTwHMg,2,I brought a friend here post birthday celebration for her and I. This restaraunt is huge. Posh and trendy environment that promises more than the food truly...,2019-04-04 09:55:08
119,RockSugar Southeast Asian Kitchen,od-e09qz8bvZOtGuPTwHMg,4,Came into this restaurant on a Sunday evening with a party of 4. The place is located in the Century City mall where it's sometimes a pain trying to find...,2019-03-27 07:21:42
120,Yuko Kitchen,23Qrcz2i9e2e8MstUIIO0A,5,I stumbled upon Yuko Kitchen this past weekend as it was right next door to the pilates studio that I took class at. I was craving sushi and decided to give...,2019-04-07 14:25:18
121,Yuko Kitchen,23Qrcz2i9e2e8MstUIIO0A,5,Yuko Kitchen provided such a warm and pleasant experience during my lunchtime pickup. The spot may be difficult to find as it is on the street adjacent to...,2019-04-04 15:12:33
122,Yuko Kitchen,23Qrcz2i9e2e8MstUIIO0A,2,"This place is definitely yummy. BUT! So dirty! Their bathroom smells like something died in there and hasn't been removed. 
I honestly don't know how the...",2019-03-08 16:13:59
123,COD Restaurant,8TUWLXWgswfRfMBymL0WRg,5,"Super great ambience, perfect for friends, family, and significant others. 

Food I Tried and Recommend: 
Scallop Carpacio 
Crispy Pork...",2019-03-22 16:41:24
124,COD Restaurant,8TUWLXWgswfRfMBymL0WRg,1,"Awful doesn't even come close to how horrible our experience was. Let me explain....

We get seated and my husband and I noticed how short staffed they...",2019-04-08 22:04:50
125,COD Restaurant,8TUWLXWgswfRfMBymL0WRg,2,"Food: 2
Service: 2
Ambiance: 3

Garlic brussels sprouts came out overcooked and burnt.  
Truffle uni pasta: uni did not taste fresh
Grilled octopus:...",2019-03-17 00:38:42
126,Bavel,wo3wnj3pMSOPkzqpvbey-g,5,Chef Ori Menashe and his wife have done it again with another outstanding restaurant in the Arts District DTLA. Like Bestia I enjoyed every dish Bavel had...,2019-04-09 13:21:37
127,Bavel,wo3wnj3pMSOPkzqpvbey-g,4,"Loved the vibe and the food at Bavel, and I'm still thinking about some of the dishes a month after I went. I was in LA for a long weekend with some friends...",2019-04-08 13:44:04
128,Bavel,wo3wnj3pMSOPkzqpvbey-g,4,"Like most LA foodies, I've been eager to try out Bavel. I booked it nearly three months in advance, and still had to take the 5pm seating. We arrived at...",2019-04-08 13:02:00
129,Bottega Louie,TkFEKhsCixPWlShULKvMdQ,5,"Delicious hand made dishes. Great service and atmosphere. I always love it when you can see the food being prepared. 

All of our dishes were wonderful. Our...",2019-04-07 13:13:56
130,Bottega Louie,TkFEKhsCixPWlShULKvMdQ,5,We got the friendliest staff ever. We got into an issue with another customer while dining and our waitress and manager made sure we were safe and having a...,2019-04-06 15:42:49
131,Bottega Louie,TkFEKhsCixPWlShULKvMdQ,4,"Everyone from the staff and the clientele looks so pretty in here, but I'm here to talk about food right? We ordered the tagliatelle bolognese, Linguini and...",2019-04-05 09:26:19
132,Concerto,IMoMSsC3oDqcNZCQXyo8iQ,5,"One of my favorite restaurants in ktown! 

Their food is made fresh and you can taste the difference. From the few times that I've visited, the service has...",2019-03-21 16:53:04
133,Concerto,IMoMSsC3oDqcNZCQXyo8iQ,3,"This place isn't great, but it's not necessarily terrible either. 
I first went to the bar to grab a drink around 5:15pm and was told I couldn't order a...",2019-03-14 18:29:25
134,Concerto,IMoMSsC3oDqcNZCQXyo8iQ,5,"You wanna hang out at a coffee shop and bar in ktown and pretend you're in the latest episode of your favorite k-drama?  Boy, do I have a spot for you....",2019-03-08 15:16:46
135,My Two Cents,30jrTz8vh1xSXdtXMvt-mA,5,I've recently been introduced to the concept of peak-end theory. It basically postulates that if you create an experience with a memorable peak and a...,2019-04-01 14:56:59
